Body	PosX			PosY			VelX			VelY			Mass		Period
Sun	-4.588639674035421e+05	-8.277742469901335e+05	1.242505794360611e-02	3.078762484369151e-04	1988410e24	0
Mercury	-3.265252087416521e+07	-6.204436222997473e+07	3.331154717745245e+01	-2.032288538992848e+01	0.3302e24	87.969257
Venus	1.283698332887579e+07	-1.088018897929847e+08	3.453518141145980e+01	4.156437812065552e+00	4.8685e24	224.70079922
Earth	-2.653100241556548e+07	1.439468995740296e+08	-2.977650610770464e+01	-5.395962660572101e+00	5.97219e24	365.25636
Mars	5.049113049487789e+07 	-2.083203224890075e+08	2.445957741742463e+01	7.861473739133970e+00	0.64171e24	686.98
Jupiter	-2.538782093363155e+08	7.365225315477104e+08	-1.250761633714600e+01	-3.639986644887777e+00	1898.19e24	4332.589
Saturn	1.421819203232436e+09	3.772943733460353e+07	-7.898651748040556e-01	9.634221220286250e+00	568.34e24	10755.698
Uranus	1.477614612946379e+09	2.512418267148477e+09	-5.920365479337566e+00	3.134957028375065e+00	86.813e24	30685.4
Neptune	4.468346746922093e+09	7.680447071835697e+07	-1.294614448856751e-01	5.465955556668026e+00	102.409e24	60189
Moon	-2.638667668807356e+07	1.442762954049252e+08	-3.078082024537686e+01	-4.975097451815738e+00	0.07349e24	27.321582
