p1x	p1y	p2x	p2y	v1x	v1y	v2x	v2y	Energy	Ang_mom	time
0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0	0	0.0
5.152262209428318e-05	5.152262209428318e-05	0.9951477627721952	0.09514776277219517	-0.4800767010348657	9.519923298965134	-0.9673138797753138	9.032686120224685	0	0	0.01
-0.004697774170798193	0.0953022258292018	0.9806537224044938	0.18065372240449373	-1.4441414268337083	8.55585857316629	-1.9422154180466884	8.05778458195331	0	0	0.02
-0.01908656233977092	0.18091343766022905	0.9563034544112614	0.2563034544112614	-2.4296433830486617	7.5703566169513365	-2.9390496874815053	7.060950312518493	0	0	0.03
-0.04332916200751183	0.25667083799248813	0.9218727286548636	0.3218727286548636	-3.437562842017728	6.56243715798227	-3.958826066663283	6.041173933336715	0	0	0.04
-0.07764969309146862	0.32235030690853134	0.8771269330779957	0.3771269330779957	-4.468937691934434	5.5310623080655645	-5.002612927104772	4.9973870728952265	0	0	0.05
-0.1222826513532894	0.3777173486467105	0.8218204701127682	0.42182047011276813	-5.524866171433376	4.475133828566622	-6.071540230638539	3.9284597693614587	0	0	0.06
-0.17747351181672938	0.42252648818327054	0.7556961284652249	0.4556961284652249	-6.606509335396352	3.3934906646036453	-7.166801771729147	2.83319822827085	0	0	0.07
-0.2434793568771132	0.4565206431228867	0.6784844346781852	0.47848443467818513	-7.715093081902728	2.2849069180972688	-8.289656865391999	1.7103431346079985	0	0	0.08
-0.32056952472812805	0.4794304752718718	0.589902991157385	0.48990299115738484	-8.851909512556855	1.1480904874431428	-9.441431215096799	0.5585687849031977	0	0	0.09
-0.4090262714584649	0.490973728541535	0.4896558103762493	0.4896558103762491	-10.0183173237182	-0.01831732371820274	-10.623516609470226	-0.6235166094702289	0	0	0.1
-0.5091454371516931	0.4908545628483067	0.3774326589679805	0.47743265896798026	-11.215740830006416	-1.21574083000642	-11.837368986952015	-1.8373689869520182	0	0	0.11
-0.6212371023435527	0.47876289765644714	0.252908430637209	0.4529084306372087	-12.445667098607592	-2.4456670986075943	-13.084504268195566	-3.0845042681955688	0	0	0.12
-0.745626215984933	0.4543737840150668	0.1157425736040692	0.41574257360406885	-13.709640517405344	-3.709640517405346	-14.366491180787595	-4.366491180787597	0	0	0.13
